date,track,nisc,attempt,trick
2022-07-12,rDDD,1,1,1
2022-07-12,rDDD,1,2,0
2022-07-12,rDDD,1,3,1
2022-07-12,rDDD,1,4,1
2022-07-12,rDDD,1,5,0
2022-07-12,rDDD,1,6,1
2022-07-12,rDDD,1,7,1
2022-07-12,rDDD,1,8,0
2022-07-12,rDDD,1,9,0
2022-07-12,rDDD,1,10,0
2022-07-12,rDDD,1,11,0
2022-07-12,rDDD,1,12,1
2022-07-12,rDDD,1,13,0
2022-07-12,rDDD,1,14,1
2022-07-12,rDDD,1,15,1
2022-07-12,rDDD,1,16,0
2022-07-12,rDDD,1,17,1
2022-07-12,rDDD,1,18,0
2022-07-12,rDDD,1,19,1
2022-07-12,rDDD,1,20,1
2022-07-12,rDDD,1,21,0
2022-07-12,rDDD,1,22,0
2022-07-12,rDDD,1,23,1
2022-07-12,rDDD,1,24,1
2022-07-12,rDDD,1,25,1
2022-07-12,rDDD,1,26,0
2022-07-12,rDDD,1,27,1
2022-07-12,rDDD,1,28,1
2022-07-12,rDDD,1,29,1
2022-07-12,rDDD,1,30,0
2022-07-12,dMC,1,1,0
2022-07-12,dMC,1,2,0
2022-07-12,dMC,1,3,0
2022-07-12,dMC,1,4,0
2022-07-12,dMC,1,5,1
2022-07-12,dMC,1,6,0
2022-07-12,dMC,1,7,0
2022-07-12,dMC,1,8,0
2022-07-12,dMC,1,9,0
2022-07-12,dMC,1,10,0
2022-07-12,dMC,1,11,1
2022-07-12,dMC,1,12,0
2022-07-12,dMC,1,13,0
2022-07-12,dMC,1,14,1
2022-07-12,dMC,1,15,0
2022-07-12,dMC,1,16,0
2022-07-12,dMC,1,17,0
2022-07-12,dMC,1,18,0
2022-07-12,dMC,1,19,0
2022-07-12,dMC,1,20,0
2022-07-12,dMC,1,21,1
2022-07-12,dMC,1,22,0
2022-07-12,dMC,1,23,1
2022-07-12,dMC,1,24,0
2022-07-12,dMC,1,25,0
2022-07-12,dMC,1,26,0
2022-07-12,dMC,1,27,0
2022-07-12,dMC,1,28,0
2022-07-12,dMC,1,29,0
2022-07-12,dMC,1,30,1
2022-07-12,dMC,1,31,1
2022-07-12,dMC,1,32,0
2022-07-12,dMC,1,33,0
2022-07-12,dDD,1,1,0
2022-07-12,dDD,1,2,1
2022-07-12,dDD,1,3,1
2022-07-12,dDD,1,4,0
2022-07-12,dDD,1,5,0
2022-07-12,dDD,1,6,0
2022-07-12,dDD,1,7,0
2022-07-12,dDD,1,8,1
2022-07-12,dDD,1,9,0
2022-07-12,dDD,1,10,1
2022-07-12,dDD,1,11,0
2022-07-12,dDD,1,12,0
2022-07-12,dDD,1,13,1
2022-07-12,dDD,1,14,0
2022-07-12,dDD,1,15,0
2022-07-12,dDD,1,16,0
2022-07-12,dDD,1,17,0
2022-07-12,dDD,1,18,0
2022-07-12,dDD,1,19,0
2022-07-12,dDD,1,20,0
2022-07-12,dDD,1,21,0
2022-07-12,dDD,1,22,1
2022-07-12,dDD,1,23,0
2022-07-12,dDD,1,24,0
2022-07-12,dDD,1,25,1
2022-07-12,dDD,1,26,1
2022-07-12,dDD,1,27,0
2022-07-12,dDD,1,28,0
2022-07-12,dDD,1,29,1
2022-07-12,dDD,1,30,0
2022-07-12,dDD,1,31,0
2022-07-12,MC,1,1,1
2022-07-12,MC,2,1,1
2022-07-12,MC,1,2,1
2022-07-12,MC,2,2,0
2022-07-12,MC,1,3,0
2022-07-12,MC,2,3,0
2022-07-12,MC,1,4,1
2022-07-12,MC,2,4,0
2022-07-12,MC,1,5,1
2022-07-12,MC,2,5,1
2022-07-12,MC,1,6,1
2022-07-12,MC,2,6,0
2022-07-12,MC,1,7,0
2022-07-12,MC,2,7,0
2022-07-12,MC,1,8,0
2022-07-12,MC,1,9,0
2022-07-12,MC,1,10,0
2022-07-12,MC,1,11,1
2022-07-12,MC,2,8,0
2022-07-12,MC,1,12,1
2022-07-12,MC,2,9,0
2022-07-12,rTTC,1,1,1
2022-07-12,rTTC,2,1,0
2022-07-12,rTTC,1,2,1
2022-07-12,rTTC,2,2,0
2022-07-12,rTTC,1,3,1
2022-07-12,rTTC,2,3,0
2022-07-12,rTTC,1,4,1
2022-07-12,rTTC,2,4,0
2022-07-12,rTTC,1,5,1
2022-07-12,rTTC,2,5,0
2022-07-12,rTTC,1,6,1
2022-07-12,rTTC,2,6,1
2022-07-12,rTTC,3,1,0
2022-07-12,rTTC,1,7,1
2022-07-12,rTTC,2,7,0
2022-07-12,rTTC,1,8,1
2022-07-12,rTTC,2,8,1
2022-07-12,rTTC,1,9,1
2022-07-12,rTTC,2,9,1
2022-07-12,rTTC,3,2,0
2022-07-12,rTTC,1,10,1
2022-07-12,rTTC,2,10,0
2022-07-12,rTTC,1,11,1
2022-07-12,rTTC,2,11,1
2022-07-12,rTTC,3,3,0
2022-07-12,rTTC,1,12,1
2022-07-12,rTTC,2,12,1
2022-07-12,rMC,1,1,0
2022-07-12,rMC,1,2,0
2022-07-12,rMC,1,3,1
2022-07-12,rMC,1,4,1
2022-07-12,rMC,1,5,0
2022-07-12,rMC,1,6,1
2022-07-12,rMC,1,7,1
2022-07-12,rMC,1,8,0
2022-07-12,rMC,1,9,0
2022-07-12,rMC,1,10,0
2022-07-12,rMC,1,11,1
2022-07-12,rMC,1,12,1
2022-07-12,rMC,1,13,1
2022-07-12,rMC,1,14,1
2022-07-12,rMC,1,15,1
2022-07-12,rMC,1,16,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
