ID,Track,Time,Version,Items,Speed,Category,Center amax,Center offset,Split
22/02/20 (08:001),Start,0.0,No Items,Cartridge,150cc,48 Tracks,0.0,0.0,0:00:00
22/02/20 (08:001),Mario Kart Stadium,135.951707,No Items,Cartridge,150cc,48 Tracks,135.951707,0.0,0:02:15.951707
22/02/20 (08:001),Water Park,275.3152,No Items,Cartridge,150cc,48 Tracks,275.3152,0.0,0:04:35.315200
22/02/20 (08:001),Sweet Sweet Canyon,429.08917099999996,No Items,Cartridge,150cc,48 Tracks,429.08917099999996,0.0,0:07:09.089171
22/02/20 (08:001),Thwomp Ruins,587.876125,No Items,Cartridge,150cc,48 Tracks,587.876125,0.0,0:09:47.876125
22/02/20 (08:001),Mario Circuit,735.763411,No Items,Cartridge,150cc,48 Tracks,735.763411,0.0,0:12:15.763411
22/02/20 (08:001),Toad Harbor,903.381832,No Items,Cartridge,150cc,48 Tracks,903.381832,0.0,0:15:03.381832
22/02/20 (08:001),Twisted Mansion,1061.574384,No Items,Cartridge,150cc,48 Tracks,1061.574384,0.0,0:17:41.574384
22/02/20 (08:001),Shy Guy Falls,1226.486701,No Items,Cartridge,150cc,48 Tracks,1226.486701,0.0,0:20:26.486701
22/02/20 (08:001),Sunshine Airport,1387.858764,No Items,Cartridge,150cc,48 Tracks,1387.858764,0.0,0:23:07.858764
22/02/20 (08:001),Dolphin Shoals,1550.37859,No Items,Cartridge,150cc,48 Tracks,1550.37859,0.0,0:25:50.378590
22/02/20 (08:001),Electrodrome,1713.404823,No Items,Cartridge,150cc,48 Tracks,1713.404823,0.0,0:28:33.404823
22/02/20 (08:001),Mount Wario,1862.679952,No Items,Cartridge,150cc,48 Tracks,1862.679952,0.0,0:31:02.679952
22/02/20 (08:001),Cloudtop Cruise,2028.723882,No Items,Cartridge,150cc,48 Tracks,2028.723882,0.0,0:33:48.723882
22/02/20 (08:001),Bone-Dry Dunes,2187.848272,No Items,Cartridge,150cc,48 Tracks,2187.848272,0.0,0:36:27.848272
22/02/20 (08:001),Bowser's Castle,2355.486409,No Items,Cartridge,150cc,48 Tracks,2355.486409,0.0,0:39:15.486409
22/02/20 (08:001),Rainbow Road,2519.752409,No Items,Cartridge,150cc,48 Tracks,2519.752409,0.0,0:41:59.752409
22/02/20 (08:001),Wii Moo Moo Meadows,2642.1810370000003,No Items,Cartridge,150cc,48 Tracks,2642.1810370000003,0.0,0:44:02.181037
22/02/20 (08:001),GBA Mario Circuit,2768.0115650000002,No Items,Cartridge,150cc,48 Tracks,2768.0115650000002,0.0,0:46:08.011565
22/02/20 (08:001),DS Cheep Cheep Beach,2918.360137,No Items,Cartridge,150cc,48 Tracks,2918.360137,0.0,0:48:38.360137
22/02/20 (08:001),N64 Toad's Turnpike,3066.090878,No Items,Cartridge,150cc,48 Tracks,3066.090878,0.0,0:51:06.090878
22/02/20 (08:001),GCN Dry Dry Desert,3241.368269,No Items,Cartridge,150cc,48 Tracks,3241.368269,0.0,0:54:01.368269
22/02/20 (08:001),SNES Donut Plains 3,3360.532345,No Items,Cartridge,150cc,48 Tracks,3360.532345,0.0,0:56:00.532345
22/02/20 (08:001),N64 Royal Raceway,3520.537306,No Items,Cartridge,150cc,48 Tracks,3520.537306,0.0,0:58:40.537306
22/02/20 (08:001),3DS DK Jungle,3684.881561,No Items,Cartridge,150cc,48 Tracks,3684.881561,0.0,1:01:24.881561
22/02/20 (08:001),DS Wario Stadium,3841.373138,No Items,Cartridge,150cc,48 Tracks,3841.373138,0.0,1:04:01.373138
22/02/20 (08:001),GCN Sherbet Land,3996.324514,No Items,Cartridge,150cc,48 Tracks,3996.324514,0.0,1:06:36.324514
22/02/20 (08:001),3DS Music Park,4160.869439,No Items,Cartridge,150cc,48 Tracks,4160.869439,0.0,1:09:20.869439
22/02/20 (08:001),N64 Yoshi Valley,4325.308603,No Items,Cartridge,150cc,48 Tracks,4325.308603,0.0,1:12:05.308603
22/02/20 (08:001),DS Tick-Tock Clock,4474.346151000001,No Items,Cartridge,150cc,48 Tracks,4474.346151000001,0.0,1:14:34.346151
22/02/20 (08:001),3DS Piranha Plant Slide,4643.089522,No Items,Cartridge,150cc,48 Tracks,4643.089522,0.0,1:17:23.089522
22/02/20 (08:001),Wii Grumble Volcano,4808.680533000001,No Items,Cartridge,150cc,48 Tracks,4808.680533000001,0.0,1:20:08.680533
22/02/20 (08:001),N64 Rainbow Road,4923.904467,No Items,Cartridge,150cc,48 Tracks,4923.904467,0.0,1:22:03.904467
22/02/20 (08:001),GCN Yoshi Circuit,5077.495399,No Items,Cartridge,150cc,48 Tracks,5077.495399,0.0,1:24:37.495399
22/02/20 (08:001),Excitebike Arena,5221.506801,No Items,Cartridge,150cc,48 Tracks,5221.506801,0.0,1:27:01.506801
22/02/20 (08:001),Dragon Driftway,5372.2364370000005,No Items,Cartridge,150cc,48 Tracks,5372.2364370000005,0.0,1:29:32.236437
22/02/20 (08:001),Mute City,5526.918362,No Items,Cartridge,150cc,48 Tracks,5526.918362,0.0,1:32:06.918362
22/02/20 (08:001),Wii Wario's Gold Mine,5692.702913,No Items,Cartridge,150cc,48 Tracks,5692.702913,0.0,1:34:52.702913
22/02/20 (08:001),SNES Rainbow Road,5824.871991,No Items,Cartridge,150cc,48 Tracks,5824.871991,0.0,1:37:04.871991
22/02/20 (08:001),Ice Ice Outpost,5979.919275,No Items,Cartridge,150cc,48 Tracks,5979.919275,0.0,1:39:39.919275
22/02/20 (08:001),Hyrule Circuit,6138.932402,No Items,Cartridge,150cc,48 Tracks,6138.932402,0.0,1:42:18.932402
22/02/20 (08:001),GCN Baby Park,6239.331229,No Items,Cartridge,150cc,48 Tracks,6239.331229,0.0,1:43:59.331229
22/02/20 (08:001),GBA Cheese Land,6393.011407,No Items,Cartridge,150cc,48 Tracks,6393.011407,0.0,1:46:33.011407
22/02/20 (08:001),Wild Woods,6542.600732,No Items,Cartridge,150cc,48 Tracks,6542.600732,0.0,1:49:02.600732
22/02/20 (08:001),Animal Crossing,6684.188382,No Items,Cartridge,150cc,48 Tracks,6684.188382,0.0,1:51:24.188382
22/02/20 (08:001),3DS Neo Bowser City,6839.383462000001,No Items,Cartridge,150cc,48 Tracks,6839.383462000001,0.0,1:53:59.383462
22/02/20 (08:001),GBA Ribbon Road,6991.5947510000005,No Items,Cartridge,150cc,48 Tracks,6991.5947510000005,0.0,1:56:31.594751
22/02/20 (08:001),Super Bell Subway,7142.543704000001,No Items,Cartridge,150cc,48 Tracks,7142.543704000001,0.0,1:59:02.543704
22/02/20 (08:001),Big Blue,7266.128033000001,No Items,Cartridge,150cc,48 Tracks,7266.128033000001,0.0,2:01:06.128033
22/02/23 (08:002),Start,0.0,No Items,Cartridge,150cc,48 Tracks,0.0,0.0,0:00:00
22/02/23 (08:002),Mario Kart Stadium,130.313486,No Items,Cartridge,150cc,48 Tracks,135.951707,-5.638220999999987,0:02:10.313486
22/02/23 (08:002),Water Park,269.107498,No Items,Cartridge,150cc,48 Tracks,275.3152,-6.207701999999983,0:04:29.107498
22/02/23 (08:002),Sweet Sweet Canyon,417.80575,No Items,Cartridge,150cc,48 Tracks,429.08917099999996,-11.283420999999976,0:06:57.805750
22/02/23 (08:002),Thwomp Ruins,569.910976,No Items,Cartridge,150cc,48 Tracks,587.876125,-17.965148999999997,0:09:29.910976
22/02/23 (08:002),Mario Circuit,717.3775909999999,No Items,Cartridge,150cc,48 Tracks,735.763411,-18.38582000000008,0:11:57.377591
22/02/23 (08:002),Toad Harbor,884.347688,No Items,Cartridge,150cc,48 Tracks,903.381832,-19.034144000000083,0:14:44.347688
22/02/23 (08:002),Twisted Mansion,1041.079151,No Items,Cartridge,150cc,48 Tracks,1061.574384,-20.4952330000001,0:17:21.079151
22/02/23 (08:002),Shy Guy Falls,1204.40689,No Items,Cartridge,150cc,48 Tracks,1226.486701,-22.079811000000063,0:20:04.406890
22/02/23 (08:002),Sunshine Airport,1367.730102,No Items,Cartridge,150cc,48 Tracks,1387.858764,-20.128662000000077,0:22:47.730102
22/02/23 (08:002),Dolphin Shoals,1525.78471,No Items,Cartridge,150cc,48 Tracks,1550.37859,-24.593880000000127,0:25:25.784710
22/02/23 (08:002),Electrodrome,1687.650872,No Items,Cartridge,150cc,48 Tracks,1713.404823,-25.753951000000143,0:28:07.650872
22/02/23 (08:002),Mount Wario,1837.88239,No Items,Cartridge,150cc,48 Tracks,1862.679952,-24.79756199999997,0:30:37.882390
22/02/23 (08:002),Cloudtop Cruise,1998.211643,No Items,Cartridge,150cc,48 Tracks,2028.723882,-30.51223899999991,0:33:18.211643
22/02/23 (08:002),Bone-Dry Dunes,2156.729829,No Items,Cartridge,150cc,48 Tracks,2187.848272,-31.118443000000298,0:35:56.729829
22/02/23 (08:002),Bowser's Castle,2328.369269,No Items,Cartridge,150cc,48 Tracks,2355.486409,-27.11714000000029,0:38:48.369269
22/02/23 (08:002),Rainbow Road,2495.1936809999997,No Items,Cartridge,150cc,48 Tracks,2519.752409,-24.55872800000043,0:41:35.193681
22/02/23 (08:002),Wii Moo Moo Meadows,2619.3660339999997,No Items,Cartridge,150cc,48 Tracks,2642.1810370000003,-22.815003000000615,0:43:39.366034
22/02/23 (08:002),GBA Mario Circuit,2744.720763,No Items,Cartridge,150cc,48 Tracks,2768.0115650000002,-23.29080200000044,0:45:44.720763
22/02/23 (08:002),DS Cheep Cheep Beach,2892.947795,No Items,Cartridge,150cc,48 Tracks,2918.360137,-25.41234200000008,0:48:12.947795
22/02/23 (08:002),N64 Toad's Turnpike,3040.0154,No Items,Cartridge,150cc,48 Tracks,3066.090878,-26.075477999999748,0:50:40.015400
22/02/23 (08:002),GCN Dry Dry Desert,3213.961795,No Items,Cartridge,150cc,48 Tracks,3241.368269,-27.40647399999989,0:53:33.961795
22/02/23 (08:002),SNES Donut Plains 3,3334.5136810000004,No Items,Cartridge,150cc,48 Tracks,3360.532345,-26.018663999999717,0:55:34.513681
22/02/23 (08:002),N64 Royal Raceway,3494.7164860000003,No Items,Cartridge,150cc,48 Tracks,3520.537306,-25.820819999999912,0:58:14.716486
22/02/23 (08:002),3DS DK Jungle,3657.600906,No Items,Cartridge,150cc,48 Tracks,3684.881561,-27.280655000000024,1:00:57.600906
22/02/23 (08:002),DS Wario Stadium,3814.523569,No Items,Cartridge,150cc,48 Tracks,3841.373138,-26.849568999999974,1:03:34.523569
22/02/23 (08:002),GCN Sherbet Land,3968.356532,No Items,Cartridge,150cc,48 Tracks,3996.324514,-27.96798200000012,1:06:08.356532
22/02/23 (08:002),3DS Music Park,4128.380658,No Items,Cartridge,150cc,48 Tracks,4160.869439,-32.48878100000002,1:08:48.380658
22/02/23 (08:002),N64 Yoshi Valley,4288.321725,No Items,Cartridge,150cc,48 Tracks,4325.308603,-36.986878000000615,1:11:28.321725
22/02/23 (08:002),DS Tick-Tock Clock,4438.9565489999995,No Items,Cartridge,150cc,48 Tracks,4474.346151000001,-35.389602000001105,1:13:58.956549
22/02/23 (08:002),3DS Piranha Plant Slide,4607.186782,No Items,Cartridge,150cc,48 Tracks,4643.089522,-35.90274000000045,1:16:47.186782
22/02/23 (08:002),Wii Grumble Volcano,4764.630096,No Items,Cartridge,150cc,48 Tracks,4808.680533000001,-44.050437000000784,1:19:24.630096
22/02/23 (08:002),N64 Rainbow Road,4879.10929,No Items,Cartridge,150cc,48 Tracks,4923.904467,-44.79517699999997,1:21:19.109290
22/02/23 (08:002),GCN Yoshi Circuit,5034.798814000001,No Items,Cartridge,150cc,48 Tracks,5077.495399,-42.696584999999686,1:23:54.798814
