ID,Track,Time,Version,Items,Speed,Category,Center mean,Center offset,Split
22/02/20 (08:001),Start,0.0,No Items,Cartridge,150cc,48 Tracks,0.0,0.0,0:00:00
22/02/20 (08:001),Mario Kart Stadium,135.951707,No Items,Cartridge,150cc,48 Tracks,131.49630545454545,4.455401545454549,0:02:15.951707
22/02/20 (08:001),Water Park,275.3152,No Items,Cartridge,150cc,48 Tracks,268.4782489090909,6.8369510909091105,0:04:35.315200
22/02/20 (08:001),Sweet Sweet Canyon,429.08917099999996,No Items,Cartridge,150cc,48 Tracks,416.73624336363645,12.352927636363518,0:07:09.089171
22/02/20 (08:001),Thwomp Ruins,587.876125,No Items,Cartridge,150cc,48 Tracks,568.4972812727273,19.378843727272738,0:09:47.876125
22/02/20 (08:001),Mario Circuit,735.763411,No Items,Cartridge,150cc,48 Tracks,713.936289909091,21.82712109090903,0:12:15.763411
22/02/20 (08:001),Toad Harbor,903.381832,No Items,Cartridge,150cc,48 Tracks,880.4593404545453,22.922491545454704,0:15:03.381832
22/02/20 (08:001),Twisted Mansion,1061.574384,No Items,Cartridge,150cc,48 Tracks,1036.0761048181819,25.498279181818134,0:17:41.574384
22/02/20 (08:001),Shy Guy Falls,1226.486701,No Items,Cartridge,150cc,48 Tracks,1198.3508009090908,28.135900090909217,0:20:26.486701
22/02/20 (08:001),Sunshine Airport,1387.858764,No Items,Cartridge,150cc,48 Tracks,1358.3072304545456,29.551533545454504,0:23:07.858764
22/02/20 (08:001),Dolphin Shoals,1550.37859,No Items,Cartridge,150cc,48 Tracks,1515.517235909091,34.86135409090912,0:25:50.378590
22/02/20 (08:001),Electrodrome,1713.404823,No Items,Cartridge,150cc,48 Tracks,1675.2737667272727,38.13105627272739,0:28:33.404823
22/02/20 (08:001),Mount Wario,1862.679952,No Items,Cartridge,150cc,48 Tracks,1822.0335933636366,40.6463586363634,0:31:02.679952
22/02/20 (08:001),Cloudtop Cruise,2028.723882,No Items,Cartridge,150cc,48 Tracks,1983.9868766363638,44.73700536363617,0:33:48.723882
22/02/20 (08:001),Bone-Dry Dunes,2187.848272,No Items,Cartridge,150cc,48 Tracks,2139.8808835454547,47.96738845454547,0:36:27.848272
22/02/20 (08:001),Bowser's Castle,2355.486409,No Items,Cartridge,150cc,48 Tracks,2305.461451090909,50.02495790909097,0:39:15.486409
22/02/20 (08:001),Rainbow Road,2519.752409,No Items,Cartridge,150cc,48 Tracks,2468.9291120909093,50.823296909090914,0:41:59.752409
22/02/20 (08:001),Wii Moo Moo Meadows,2642.1810370000003,No Items,Cartridge,150cc,48 Tracks,2590.5414836363634,51.63955336363688,0:44:02.181037
22/02/20 (08:001),GBA Mario Circuit,2768.0115650000002,No Items,Cartridge,150cc,48 Tracks,2715.158270545455,52.85329445454545,0:46:08.011565
22/02/20 (08:001),DS Cheep Cheep Beach,2918.360137,No Items,Cartridge,150cc,48 Tracks,2862.3727943636363,55.98734263636379,0:48:38.360137
22/02/20 (08:001),N64 Toad's Turnpike,3066.090878,No Items,Cartridge,150cc,48 Tracks,3008.1406689090904,57.95020909090954,0:51:06.090878
22/02/20 (08:001),GCN Dry Dry Desert,3241.368269,No Items,Cartridge,150cc,48 Tracks,3176.7865129090906,64.5817560909095,0:54:01.368269
22/02/20 (08:001),SNES Donut Plains 3,3360.532345,No Items,Cartridge,150cc,48 Tracks,3294.232458090909,66.29988690909113,0:56:00.532345
22/02/20 (08:001),N64 Royal Raceway,3520.537306,No Items,Cartridge,150cc,48 Tracks,3452.759434454546,67.77787154545422,0:58:40.537306
22/02/20 (08:001),3DS DK Jungle,3684.881561,No Items,Cartridge,150cc,48 Tracks,3615.183546363636,69.69801463636395,1:01:24.881561
22/02/20 (08:001),DS Wario Stadium,3841.373138,No Items,Cartridge,150cc,48 Tracks,3769.8401324545453,71.53300554545467,1:04:01.373138
22/02/20 (08:001),GCN Sherbet Land,3996.324514,No Items,Cartridge,150cc,48 Tracks,3921.7439035454536,74.58061045454633,1:06:36.324514
22/02/20 (08:001),3DS Music Park,4160.869439,No Items,Cartridge,150cc,48 Tracks,4082.867787272727,78.00165172727293,1:09:20.869439
22/02/20 (08:001),N64 Yoshi Valley,4325.308603,No Items,Cartridge,150cc,48 Tracks,4242.233685,83.07491800000025,1:12:05.308603
22/02/20 (08:001),DS Tick-Tock Clock,4474.346151000001,No Items,Cartridge,150cc,48 Tracks,4389.909057818182,84.43709318181845,1:14:34.346151
22/02/20 (08:001),3DS Piranha Plant Slide,4643.089522,No Items,Cartridge,150cc,48 Tracks,4555.238300454545,87.85122154545479,1:17:23.089522
22/02/20 (08:001),Wii Grumble Volcano,4808.680533000001,No Items,Cartridge,150cc,48 Tracks,4713.270745272726,95.4097877272743,1:20:08.680533
22/02/20 (08:001),N64 Rainbow Road,4923.904467,No Items,Cartridge,150cc,48 Tracks,4827.541779272728,96.36268772727271,1:22:03.904467
