ID,Track,Time,Version,Items,Speed,Category,Center median,Center offset,Split
22/02/20 (08:001),Start,0.0,No Items,Cartridge,150cc,48 Tracks,0.0,0.0,0:00:00
22/02/20 (08:001),Mario Kart Stadium,135.951707,No Items,Cartridge,150cc,48 Tracks,131.563786,4.387921000000006,0:02:15.951707
22/02/20 (08:001),Water Park,275.3152,No Items,Cartridge,150cc,48 Tracks,269.107498,6.207701999999983,0:04:35.315200
22/02/20 (08:001),Sweet Sweet Canyon,429.08917099999996,No Items,Cartridge,150cc,48 Tracks,417.80575,11.283420999999976,0:07:09.089171
22/02/20 (08:001),Thwomp Ruins,587.876125,No Items,Cartridge,150cc,48 Tracks,569.910976,17.965148999999997,0:09:47.876125
22/02/20 (08:001),Mario Circuit,735.763411,No Items,Cartridge,150cc,48 Tracks,716.107839,19.655572000000006,0:12:15.763411
22/02/20 (08:001),Toad Harbor,903.381832,No Items,Cartridge,150cc,48 Tracks,884.347688,19.034144000000083,0:15:03.381832
22/02/20 (08:001),Twisted Mansion,1061.574384,No Items,Cartridge,150cc,48 Tracks,1041.079151,20.4952330000001,0:17:41.574384
22/02/20 (08:001),Shy Guy Falls,1226.486701,No Items,Cartridge,150cc,48 Tracks,1203.4756720000003,23.01102899999978,0:20:26.486701
22/02/20 (08:001),Sunshine Airport,1387.858764,No Items,Cartridge,150cc,48 Tracks,1362.5928750000003,25.265888999999788,0:23:07.858764
22/02/20 (08:001),Dolphin Shoals,1550.37859,No Items,Cartridge,150cc,48 Tracks,1519.6185790000002,30.76001099999985,0:25:50.378590
22/02/20 (08:001),Electrodrome,1713.404823,No Items,Cartridge,150cc,48 Tracks,1678.6515570000001,34.75326599999994,0:28:33.404823
22/02/20 (08:001),Mount Wario,1862.679952,No Items,Cartridge,150cc,48 Tracks,1824.4383050000001,38.24164699999983,0:31:02.679952
22/02/20 (08:001),Cloudtop Cruise,2028.723882,No Items,Cartridge,150cc,48 Tracks,1986.5405640000001,42.18331799999987,0:33:48.723882
22/02/20 (08:001),Bone-Dry Dunes,2187.848272,No Items,Cartridge,150cc,48 Tracks,2142.423157,45.425115000000005,0:36:27.848272
22/02/20 (08:001),Bowser's Castle,2355.486409,No Items,Cartridge,150cc,48 Tracks,2305.551847,49.934561999999914,0:39:15.486409
22/02/20 (08:001),Rainbow Road,2519.752409,No Items,Cartridge,150cc,48 Tracks,2469.34961,50.40279899999996,0:41:59.752409
22/02/20 (08:001),Wii Moo Moo Meadows,2642.1810370000003,No Items,Cartridge,150cc,48 Tracks,2591.5849550000003,50.596082000000024,0:44:02.181037
22/02/20 (08:001),GBA Mario Circuit,2768.0115650000002,No Items,Cartridge,150cc,48 Tracks,2716.1709600000004,51.84060499999987,0:46:08.011565
22/02/20 (08:001),DS Cheep Cheep Beach,2918.360137,No Items,Cartridge,150cc,48 Tracks,2864.183057,54.17707999999993,0:48:38.360137
22/02/20 (08:001),N64 Toad's Turnpike,3066.090878,No Items,Cartridge,150cc,48 Tracks,3010.3942070000003,55.6966709999997,0:51:06.090878
22/02/20 (08:001),GCN Dry Dry Desert,3241.368269,No Items,Cartridge,150cc,48 Tracks,3179.7165560000003,61.651712999999745,0:54:01.368269
22/02/20 (08:001),SNES Donut Plains 3,3360.532345,No Items,Cartridge,150cc,48 Tracks,3295.5961580000003,64.93618699999979,0:56:00.532345
22/02/20 (08:001),N64 Royal Raceway,3520.537306,No Items,Cartridge,150cc,48 Tracks,3456.2938750000003,64.24343099999987,0:58:40.537306
22/02/20 (08:001),3DS DK Jungle,3684.881561,No Items,Cartridge,150cc,48 Tracks,3619.4200630000005,65.46149799999966,1:01:24.881561
22/02/20 (08:001),DS Wario Stadium,3841.373138,No Items,Cartridge,150cc,48 Tracks,3774.9858310000004,66.38730699999951,1:04:01.373138
