ID,Track,Time,Version,Items,Speed,Category
22/02/20 (08:001),Start,0,No Items,Cartridge,150cc,48 Tracks
22/02/23 (08:002),Start,0,No Items,Cartridge,150cc,48 Tracks
22/02/25 (08:003),Start,0,No Items,Cartridge,150cc,48 Tracks
22/02/27 (08:004),Start,0,No Items,Cartridge,150cc,48 Tracks
22/03/07 (08:005),Start,0,No Items,Cartridge,150cc,48 Tracks
22/03/13 (08:006),Start,0,No Items,Cartridge,150cc,48 Tracks
22/03/15 (08:007),Start,0,No Items,Cartridge,150cc,48 Tracks
22/04/05 (08:008),Start,0,No Items,Cartridge,150cc,48 Tracks
22/04/19 (08:009),Start,0,No Items,Cartridge,150cc,48 Tracks
22/04/19 (08:010),Start,0,No Items,Cartridge,150cc,48 Tracks
22/04/23 (08:011),Start,0,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:012),Start,0,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:013),Start,0,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:015),Start,0,No Items,Cartridge,150cc,48 Tracks
22/07/04 (08:016),Start,0,No Items,Cartridge,150cc,48 Tracks
22/07/04 (08:018),Start,0,No Items,Cartridge,150cc,48 Tracks
22/07/04 (08:019),Start,0,No Items,Cartridge,150cc,48 Tracks
(08:000),Start,0,No Items,Cartridge,150cc,48 Tracks
22/02/20 (08:001),Mario Kart Stadium,135.951707,No Items,Cartridge,150cc,48 Tracks
22/02/23 (08:002),Mario Kart Stadium,130.313486,No Items,Cartridge,150cc,48 Tracks
22/02/25 (08:003),Mario Kart Stadium,132.745151,No Items,Cartridge,150cc,48 Tracks
22/02/27 (08:004),Mario Kart Stadium,131.964295,No Items,Cartridge,150cc,48 Tracks
22/03/07 (08:005),Mario Kart Stadium,132.839551,No Items,Cartridge,150cc,48 Tracks
22/03/13 (08:006),Mario Kart Stadium,131.753976,No Items,Cartridge,150cc,48 Tracks
22/03/15 (08:007),Mario Kart Stadium,131.563786,No Items,Cartridge,150cc,48 Tracks
22/04/05 (08:008),Mario Kart Stadium,131.504708,No Items,Cartridge,150cc,48 Tracks
22/04/19 (08:009),Mario Kart Stadium,130.062011,No Items,Cartridge,150cc,48 Tracks
22/04/19 (08:010),Mario Kart Stadium,130.413971,No Items,Cartridge,150cc,48 Tracks
22/04/23 (08:011),Mario Kart Stadium,129.554563,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:012),Mario Kart Stadium,129.837703,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:013),Mario Kart Stadium,129.868771,No Items,Cartridge,150cc,48 Tracks
22/06/06 (08:015),Mario Kart Stadium,129.40581,No Items,Cartridge,150cc,48 Tracks
22/07/04 (08:016),Mario Kart Stadium,129.805291,No Items,Cartridge,150cc,48 Tracks
22/07/04 (08:018),Mario Kart Stadium,128.828902,No Items,Cartridge,150cc,48 Tracks
22/07/04 (08:019),Mario Kart Stadium,128.862327,No Items,Cartridge,150cc,48 Tracks
(08:000),Water Park,137.511559,No Items,Cartridge,150cc,48 Tracks
22/02/20 (08:001),Water Park,139.363493,No Items,Cartridge,150cc,48 Tracks
22/02/23 (08:002),Water Park,138.794012,No Items,Cartridge,150cc,48 Tracks
22/02/25 (08:003),Water Park,139.706727,No Items,Cartridge,150cc,48 Tracks
22/02/27 (08:004),Water Park,141.097707,No Items,Cartridge,150cc,48 Tracks
