date,time,trk,cc,lap 1,lap 2,lap 3,total
2022-02-26,11:43 PM,BC,150,46.877,44.708,44.357,2:15.942
2022-03-06,10:24 PM,BC,150,46.073,45.020,44.357,2:15.450
2022-03-26,12:11 AM,BC,150,45.927,43.946,43.738,2:13.611
2022-04-07,11:38 PM,BC,150,45.229,43.560,43.721,2:12.510
2022-04-26,11:43 PM,BC,150,45.174,43.063,43.543,2:11.780
2022-05-26,9:37 PM,BC,150,45.113,43.327,43.190,2:11.630
2022-05-26,9:44 PM,BC,150,44.961,43.229,43.376,2:11.566
2022-06-03,11:55 PM,BC,150,44.796,42.621,42.511,2:09.928
2022-02-27,8:32 PM,BDD,150,43.490,41.750,41.640,2:06.880
2022-03-23,7:49 PM,BDD,150,43.727,41.206,41.289,2:06.222
2022-04-14,7:47 PM,BDD,150,43.503,40.783,40.680,2:04.966
2022-05-25,2:37 PM,BDD,150,43.304,40.730,40.564,2:04.598
2022-05-26,10:01 PM,BDD,150,43.468,40.863,40.247,2:04.578
2022-05-28,5:33 PM,BDD,150,43.137,40.801,40.579,2:04.517
2022-06-11,6:09 PM,BDD,150,43.155,40.490,40.835,2:04.480
2022-06-26,2:05 PM,BDD,150,42.150,39.836,40.411,2:02.397
2022-06-28,10:12 PM,BDD,150,41.517,40.650,39.256,2:01.423
2022-06-29,11:20 PM,BDD,150,42.001,39.329,39.742,2:01.072
2022-02-09,12:23 AM,CC,150,46.354,44.705,44.888,2:15.947
2022-03-23,7:25 PM,CC,150,47.587,43.500,43.802,2:14.889
2022-04-08,5:33 PM,CC,150,45.515,43.504,43.560,2:12.579
2022-06-08,7:54 PM,CC,150,45.208,43.710,43.559,2:12.477
2022-06-11,6:34 PM,CC,150,45.762,43.233,43.028,2:12.023
2022-02-03,7:34 PM,dAC,150,38.494,35.388,36.195,1:50.077
2022-02-03,7:39 PM,dAC,150,38.047,35.332,35.552,1:48.931
2022-03-06,11:17 PM,dAC,150,38.003,35.314,35.237,1:48.554
2022-03-25,11:30 PM,dAC,150,37.105,35.102,35.272,1:47.479
2022-04-07,11:28 PM,dAC,150,36.903,34.482,34.755,1:46.140
2022-04-17,5:44 PM,dAC,150,36.863,34.291,34.705,1:45.859
2022-06-14,7:25 PM,dAC,150,36.991,34.129,34.529,1:45.649
2022-02-05,9:12 PM,dBB,150,37.533,22.833,36.167,1:36.533
2022-02-14,2:13 AM,dBB,150,37.216,23.217,35.967,1:36.400
2022-02-14,2:31 AM,dBB,150,36.383,23.933,35.884,1:36.200
2022-02-15,12:39 AM,dBB,150,36.600,23.050,36.516,1:36.166
2022-02-15,12:43 AM,dBB,150,36.433,23.600,35.450,1:35.483
2022-03-12,3:17 PM,dBB,150,36.366,23.167,35.350,1:34.883
2022-03-15,4:03 AM,dBB,150,36.166,22.267,35.500,1:33.933
2022-04-07,10:49 PM,dBB,150,35.683,22.700,35.083,1:33.466
2022-05-27,8:57 PM,dBB,150,36.283,22.533,34.517,1:33.333
2022-05-27,9:01 PM,dBB,150,35.850,22.066,34.350,1:32.266
2022-02-14,4:16 AM,dBP,150,,,,1:12.252
2022-04-07,11:12 PM,dBP,150,,,,1:10.812
2022-02-11,5:59 PM,dCL,150,42.664,40.177,40.043,2:02.884
2022-02-14,3:52 AM,dCL,150,42.325,39.710,39.944,2:01.979
2022-02-17,6:43 PM,dCL,150,41.413,38.708,40.096,2:00.217
2022-03-12,9:51 PM,dCL,150,41.255,39.163,39.145,1:59.563
2022-04-07,11:07 PM,dCL,150,40.573,38.104,38.138,1:56.815
2022-05-22,12:28 PM,dCL,150,40.358,38.277,37.828,1:56.463
2022-06-12,4:01 PM,dCL,150,40.113,37.668,38.304,1:56.085
2022-02-12,8:42 PM,dDD,150,40.501,38.675,39.137,1:58.313
2022-02-26,10:37 PM,dDD,150,40.744,38.312,38.385,1:57.441
2022-03-16,9:56 PM,dDD,150,40.199,38.527,37.996,1:56.722
2022-04-14,7:34 PM,dDD,150,39.339,37.921,37.779,1:55.039
2022-07-03,10:58 PM,dDD,150,39.658,37.668,37.036,1:54.362
2022-07-17,4:14 PM,dDD,150,39.131,37.098,37.790,1:54.019
2022-07-24,10:03 PM,dDD,150,38.599,36.845,36.875,1:52.319
2022-07-24,10:31 PM,dDD,150,39.062,36.652,36.441,1:52.155
2022-07-24,5:46 PM,dDD,150,38.569,37.504,37.231,1:53.304
2022-02-01,6:38 AM,dEA,150,38.989,37.126,37.126,1:53.241
2022-02-03,7:23 PM,dEA,150,38.468,37.089,37.205,1:52.762
2022-02-14,3:37 AM,dEA,150,38.527,36.780,36.754,1:52.061
2022-03-12,5:39 PM,dEA,150,38.484,36.902,36.396,1:51.782
2022-04-14,7:25 PM,dEA,150,38.390,36.987,36.248,1:51.625
2022-05-05,6:43 PM,dEA,150,38.118,36.639,36.627,1:51.384
2022-06-19,12:03 PM,dEA,150,38.264,36.630,36.133,1:51.027
2022-02-03,5:02 PM,dHC,150,43.622,42.009,42.104,2:07.735
2022-02-05,2:46 AM,dHC,150,42.289,42.221,41.820,2:06.330
2022-03-07,10:34 PM,dHC,150,43.004,40.272,40.465,2:03.741
2022-03-12,4:09 PM,dHC,150,41.106,39.813,41.428,2:02.347
2022-03-16,9:52 PM,dHC,150,41.701,40.837,39.804,2:02.342
