NO,Player,Real time,Version,Date
1,kusaan,1h 48m 26s 040ms,Digital,6 months ago
2,Anthony99,1h 48m 35s 701ms,Digital,2 months ago
3,Pii,1h 48m 38s,Digital,8 months ago
4,おれより下のやつたこ,1h 48m 41s,Digital,2 years ago
5,Xeter,1h 49m 20s 922ms,Cartridge,4 months ago
6,Rookie,1h 49m 24s,Digital,1 month ago
7,ScarTax,1h 49m 25s,Digital,1 year ago
8,A_MK,1h 49m 35s 060ms,Digital,1 month ago
9,AKB_,1h 49m 36s,Cartridge,6 months ago
10,Pianist15,1h 49m 42s,Digital,1 year ago
11,ThomasDHC,1h 49m 47s 210ms,Cartridge,1 year ago
12,K4I,1h 49m 47s 633ms,Cartridge,1 year ago
13,VikeMK,1h 49m 47s 851ms,Digital,2 months ago
14,airy,1h 49m 58s 020ms,Digital,3 months ago
15,Cynda,1h 49m 59s,Digital,3 years ago
16,BrawlerJesse,1h 50m 07s,Digital,3 years ago
17,jacob,1h 50m 08s,Digital,2 months ago
18,Mooden2,1h 50m 29s,Digital,2 years ago
19,CC_,1h 50m 33s,Digital,3 years ago
20,Gecko_MP,1h 50m 36s,Cartridge,1 month ago
21,Athaway,1h 50m 44s,Cartridge,1 year ago
22,Leo_oo,1h 50m 46s,Digital,4 years ago
23,Soratay,1h 50m 50s 790ms,Cartridge,7 months ago
24,Nicolasreci,1h 50m 55s,Digital,3 years ago
25,daisukeNL,1h 51m 07s 790ms,Digital,4 months ago
26,CaptainHeeHaw,1h 51m 12s 245ms,Digital,7 months ago
27,Neykan,1h 51m 28s,Cartridge,2 years ago
28,Tymbuh,1h 51m 29s 860ms,Cartridge,1 year ago
29,IceHawk0901,1h 51m 38s 103ms,Digital,3 days ago
30,starxlx,1h 51m 41s,Cartridge,4 years ago
30,Drake42,1h 51m 41s,Digital,4 years ago
32,KikiMK,1h 51m 44s 610ms,Cartridge,1 year ago
33,TripzR,1h 51m 58s 010ms,Cartridge,3 days ago
34,CryptexSSBU,1h 52m 01s 052ms,Cartridge,3 months ago
35,tossy,1h 52m 02s,Cartridge,2 years ago
36,SoMuchPuke,1h 52m 07s,Cartridge,1 year ago
37,Jack8D,1h 52m 08s 003ms,Cartridge,1 year ago
38,choripanycristi,1h 52m 11s,Digital,1 month ago
39,Ensy,1h 52m 14s,Cartridge,1 year ago
40,BenFoolery,1h 52m 22s,Digital,10 months ago
41,mexas66,1h 52m 23s 072ms,Cartridge,1 year ago
42,hedge_W._Bush,1h 52m 28s 064ms,Cartridge,1 year ago
43,Karlie,1h 52m 36s,Cartridge,2 weeks ago
44,Kimo0598,1h 52m 41s 637ms,Cartridge,2 years ago
45,AlexWBoss,1h 52m 44s,Cartridge,1 year ago
46,kaitomo,1h 52m 44s 017ms,Cartridge,1 year ago
47,BillCipher74,1h 52m 45s,Cartridge,1 week ago
48,Theo_MK,1h 52m 49s 680ms,Digital,11 months ago
49,Sheikonh,1h 52m 56s,Digital,3 years ago
50,ZORROwned,1h 53m 02s 025ms,Cartridge,1 year ago
51,Volcarona,1h 53m 02s 950ms,Cartridge,9 months ago
52,RiskyRicky4,1h 53m 07s 030ms,Cartridge,1 year ago
53,Mathieutp,1h 53m 08s,Cartridge,3 months ago
54,Ayden,1h 53m 13s,Cartridge,1 month ago
55,Ogward,1h 53m 26s,Cartridge,2 months ago
56,Wantvd,1h 53m 32s,Digital,2 years ago
57,bluebirdkart,1h 53m 33s 310ms,Cartridge,1 month ago
58,NBandicoot,1h 53m 35s,Cartridge,2 months ago
59,JoeriMK8,1h 53m 36s 200ms,Cartridge,1 year ago
60,DavidU_TV,1h 53m 40s 720ms,Cartridge,4 months ago
61,wakejald,1h 53m 41s,Digital,7 months ago
62,Dimentio40,1h 53m 44s 230ms,Digital,1 week ago
63,speeedy_sloth,1h 53m 45s 540ms,Digital,2 years ago
64,ElectricDad,1h 53m 48s,Digital,7 months ago
65,UchihaMadao,1h 53m 53s,Digital,4 years ago
66,thetoastyjoe,1h 53m 57s,Digital,3 years ago
67,quo,1h 53m 58s,Digital,2 years ago
68,PunchSh0t,1h 54m 03s,Cartridge,1 month ago
69,LiaraLili,1h 54m 08s,Cartridge,2 years ago
70,squidsRderpy,1h 54m 09s,Cartridge,4 years ago
71,GSCorinth7,1h 54m 15s 083ms,Cartridge,1 year ago
72,Glennjamin,1h 54m 17s,Digital,2 months ago
73,vvooper,1h 54m 18s 170ms,Digital,7 months ago
74,burkhalter83,1h 54m 20s,Digital,4 years ago
75,SSJona,1h 54m 21s 061ms,Cartridge,8 months ago
