date,song,artist,feat,subgifter
2022-06-03,Punk Rock Loser,Viagra Boys,,
2022-06-03,Spitting Off The Edge Of The World,Yeah Yeah Yeahs,Perfume Genius,
2022-06-03,Distraction,Polo G,,
2022-06-03,Funkytown,St. Vincent,,
2022-06-03,Viva Las Vengeance,Panic! At The Disco,,
2022-06-03,GOOD TIMES,Jungle,,
2022-06-03,2 Freaks,Sada Baby,Snoop Dogg,
2022-06-03,Will Of The People,Muse,,
2022-06-03,Mother Fucking Liar,GWAR,,
2022-06-03,Blood Libel,GWAR,,
2022-06-03,Help Me God,CyHi,,
2022-06-03,GREEN LIGHT,Merlyn Wood,,
2022-06-03,Bleed It,Logic,,
2022-06-03,Modern Warfar,EDEN,,
2022-06-03,Walkin,Denzel Curry,Key Glock,
2022-06-03,H2hoe,cupcakKe,,
2022-06-03,California,Slake Dransky,Caleb.,AceChristo
2022-06-03,Slaughterhouse,Chat Pile,,hrenoir
2022-06-03,Suey,Bicycle Day,Alexzander Isaiah,frellard
2022-06-03,Anti-glory,Horsegirl,,
2022-06-03,Point Blank,Denmark Vessey,Sogi Yhaman & Hejai Beats,sogiyhaman
2022-06-03,That's Where I Am,Maggie Rogers,,
2022-06-03,Dream Thing,Angel Olsen,,
2022-06-03,All The Flowers,Angel Olsen,,
2022-06-03,Medicine,070 Shake,,
2022-06-03,History,070 Shake,,
2022-06-03,Happy Birthday 2U,Vory,,
2022-06-03,Daylight,Vory,Kanye West,
2022-06-03,Lemon Tree,Post Malone,,
2022-06-03,Wrapped Around Your Finger,Post Malone,,
2022-06-03,I Like You (A Happier Song),Post Malone,Doja Cat,
2022-06-03,I Cannot Be (A Sadder Song,Post Malone,Gunna,
2022-06-03,Click Click Boom,Saliva,,
2022-06-10,Betty (Get Money),Yung Gravy,,
2022-06-10,A Love Letter,KEN mode,,
2022-06-10,If I Die Tomorrow,Jack White,,
2022-06-10,Reasons To Live,Pale Waves,,
2022-06-10,Come For Me,Shygirl,,
2022-06-10,Glimpse of Us,Joji,,
2022-06-10,Tread Carefully,SZA,,
2022-06-10,Jodie,SZA,,
2022-06-10,Grrrls,Lizzo,,
2022-06-10,Cash In Cash Out,Pharrell Williams,"21 Savage & Tyler, The Creator",
2022-06-10,Denial,Rae Sremmurd,,
2022-06-10,UMI Says,6LACK,,
2022-06-10,1st Quarter,Denzel Curry,REASON,
2022-06-10,This is What We Do (June 19th),Bun B,Jack Freeman,
2022-06-10,Galveston,Lupe Fiasco,,
2022-06-10,Broken,KONGOS,,saymynamefren
2022-06-10,Satellite,Courtney Marie Andrews,,windwavesbeachsun
2022-06-10,Slippery Smile,Bird's Eye Batang,,scumragjones
2022-06-10,Badget,Hamond,,
2022-06-10,Breath Control,Logic,Wiz Khalifa,
2022-06-10,SKIN OF MY TEETH,Demi Lovato,,
2022-06-10,more than life,Machine Gun Kelly & glaive,,
2022-06-10,Diva,Princess Nokia,,
2022-06-10,Question 1,Boris,,
2022-06-10,Home (Remix),Mike Dimes & JID,,
2022-06-10,Because,Danger Mouse & Black Thought,"Joey Bada$$, Russ, Dylan Carlidge",
2022-06-10,Loveology,Regina Spektor,,
2022-06-10,newdemo,Soccer Mommy,,
2022-06-10,Genevieve,Pianos Become the Teeth,,
2022-06-10,Entropy,Beach Bunny,,
2022-06-10,Merkurius Gilded,Imperial Triumphant,,
2022-06-10,Bunny Chow,E L U C I D,,
2022-06-10,A Lofty Grave,Artificial Brain,,
2022-06-10,Click Click Boom,Saliva,,
