date,time,cup,track,cc,lap 1,lap 2,lap 3,total
2022-02-03,7:34 PM,Crossing,Animal Crossing,150,38.494,35.388,36.195,1:50.077
2022-02-03,7:39 PM,Crossing,Animal Crossing,150,38.047,35.332,35.552,1:48.931
2022-03-06,11:17 PM,Crossing,Animal Crossing,150,38.003,35.314,35.237,1:48.554
2022-02-14,4:16 AM,Crossing,Baby Park,150,,,,1:12.252
2022-02-05,9:12 PM,Bell,Big Blue,150,37.533,22.833,36.167,1:36.533
2022-02-14,2:13 AM,Bell,Big Blue,150,37.216,23.217,35.967,1:36.400
2022-02-14,2:31 AM,Bell,Big Blue,150,36.383,23.933,35.884,1:36.200
2022-02-15,12:39 AM,Bell,Big Blue,150,36.600,23.050,36.516,1:36.166
2022-02-15,12:43 AM,Bell,Big Blue,150,36.433,23.600,35.450,1:35.483
2022-03-12,3:17 PM,Bell,Big Blue,150,36.366,23.167,35.350,1:34.883
2022-02-27,8:32 PM,Special,Bone Dry Dunes,150,43.490,41.750,41.640,2:06.880
2022-02-26,11:43 PM,Special,Bowser's Castle,150,46.877,44.708,44.357,2:15.942
2022-03-06,10:24 PM,Special,Bowser's Castle,150,46.073,45.020,44.357,2:15.450
2022-02-11,10:40 AM,Shell,Cheep Cheep Beach,150,42.295,39.361,39.228,2:00.884
2022-02-11,10:43 AM,Shell,Cheep Cheep Beach,150,41.546,40.091,38.920,2:00.557
2022-02-11,10:49 AM,Shell,Cheep Cheep Beach,150,41.470,39.427,39.511,2:00.408
2022-02-27,12:18 AM,Shell,Cheep Cheep Beach,150,41.484,39.017,39.029,1:59.530
2022-02-11,5:59 PM,Crossing,Cheese Land,150,42.664,40.177,40.043,2:02.884
2022-02-14,3:52 AM,Crossing,Cheese Land,150,42.325,39.710,39.944,2:01.979
2022-02-17,6:43 PM,Crossing,Cheese Land,150,41.413,38.708,40.096,2:00.217
2022-03-12,9:51 PM,Crossing,Cheese Land,150,41.255,39.163,39.145,1:59.563
2022-02-09,12:23 AM,Special,Cloudtop Cruise,150,46.354,44.705,44.888,2:15.947
2022-02-02,5:20 AM,Banana,DK Jungle,150,47.323,45.267,45.031,2:17.621
2022-02-11,7:06 AM,Banana,DK Jungle,150,46.617,45.380,44.655,2:16.652
2022-02-23,12:52 AM,Banana,DK Jungle,150,46.830,44.938,44.774,2:16.542
2022-02-12,8:53 PM,Star,Dolphin Shoals,150,45.309,42.868,43.742,2:11.919
2022-02-26,11:47 PM,Star,Dolphin Shoals,150,44.679,43.157,43.565,2:11.401
2022-03-06,11:26 PM,Star,Dolphin Shoals,150,44.792,42.557,42.958,2:10.307
2022-03-12,10:17 PM,Star,Dolphin Shoals,150,44.919,42.402,42.381,2:09.702
2022-02-01,7:31 AM,Banana,Donut Plains,150,31.385,31.254,30.501,1:33.140
2022-02-01,8:05 AM,Banana,Donut Plains,150,31.803,30.087,30.575,1:32.465
2022-02-02,5:16 AM,Banana,Donut Plains,150,91.802,30.960,29.555,1:32.317
2022-02-03,5:13 PM,Banana,Donut Plains,150,31.039,30.504,30.144,1:31.687
2022-02-03,6:12 PM,Banana,Donut Plains,150,30.856,30.249,30.422,1:31.527
2022-02-03,6:19 PM,Banana,Donut Plains,150,31.658,29.613,30.059,1:31.330
2022-02-03,6:28 PM,Banana,Donut Plains,150,31.704,29.289,29.992,1:30.958
2022-02-06,3:11 AM,Banana,Donut Plains,150,31.090,28.828,29.704,1:29.622
2022-02-09,12:47 AM,Banana,Donut Plains,150,30.302,29.525,29.753,1:29.580
2022-02-09,7:27 PM,Banana,Donut Plains,150,30.272,28.957,29.426,1:28.655
2022-02-11,10:59 AM,Banana,Donut Plains,150,30.532,29.553,28.472,1:28.557
2022-02-14,3:31 AM,Banana,Donut Plains,150,29.759,28.558,30.044,1:28.361
2022-02-23,12:30 AM,Banana,Donut Plains,150,30.235,28.585,28.793,1:27.613
2022-02-23,12:38 AM,Banana,Donut Plains,150,30.055,27.997,28.786,1:26.838
2022-03-09,9:41 PM,Banana,Donut Plains,200,28.860,29.538,29.444,1:27.842
2022-03-09,9:44 PM,Banana,Donut Plains,200,26.966,27.577,29.909,1:24.452
2022-02-12,8:42 PM,Egg,Dragon Driftway,150,40.501,38.675,39.137,1:58.313
2022-02-26,10:37 PM,Egg,Dragon Driftway,150,40.744,38.312,38.385,1:57.441
2022-02-09,1:07 AM,Banana,Dry Dry Desert,150,48.053,46.253,44.951,2:19.257
2022-02-09,1:26 AM,Banana,Dry Dry Desert,150,47.319,45.030,44.807,2:17.156
2022-02-09,1:33 AM,Banana,Dry Dry Desert,150,46.822,45.412,44.213,2:16.447
2022-02-09,7:18 PM,Banana,Dry Dry Desert,150,46.154,45.320,44.453,2:15.927
2022-02-09,7:22 PM,Banana,Dry Dry Desert,150,45.883,44.323,44.161,2:14.367
2022-02-26,11:50 PM,Star,Electrodrome,150,46.189,43.536,43.930,2:13.655
2022-03-06,8:31 PM,Star,Electrodrome,150,45.213,43.777,43.432,2:12.422
2022-03-10,1:21 AM,Star,Electrodrome,150,45.324,43.428,43.580,2:12.332
2022-03-12,5:43 PM,Star,Electrodrome,150,45.047,43.193,43.046,2:11.286
2022-02-01,6:38 AM,Egg,Excitebike Arena,150,38.989,37.126,37.126,1:53.241
2022-02-03,7:23 PM,Egg,Excitebike Arena,150,38.468,37.089,37.205,1:52.762
2022-02-14,3:37 AM,Egg,Excitebike Arena,150,38.527,36.780,36.754,1:52.061
2022-03-12,5:39 PM,Egg,Excitebike Arena,150,38.484,36.902,36.396,1:51.782
2022-02-27,8:53 PM,Lightning,Grumble Volcano,150,44.213,43.260,43.017,2:10.490
2022-03-06,9:07 PM,Lightning,Grumble Volcano,150,44.131,42.924,42.958,2:10.013
2022-03-12,5:33 PM,Lightning,Grumble Volcano,150,43.655,43.252,42.570,2:09.477
2022-02-03,5:02 PM,Triforce,Hyrule Circuit,150,43.622,42.009,42.104,2:07.735
2022-02-05,2:46 AM,Triforce,Hyrule Circuit,150,42.289,42.221,41.820,2:06.330
2022-03-07,10:34 PM,Triforce,Hyrule Circuit,150,43.004,40.272,40.465,2:03.741
2022-03-12,4:09 PM,Triforce,Hyrule Circuit,150,41.106,39.813,41.428,2:02.347
2022-02-02,7:00 AM,Triforce,Ice Ice Outpost,150,42.612,40.502,41.641,2:04.755
2022-02-03,4:43 PM,Triforce,Ice Ice Outpost,150,41.764,40.530,40.068,2:02.362
2022-02-03,4:57 PM,Triforce,Ice Ice Outpost,150,41.678,39.784,38.917,2:00.379
2022-03-12,3:58 PM,Triforce,Ice Ice Outpost,150,41.104,39.342,39.378,1:59.824
2022-02-14,1:48 AM,Flower,Mario Circuit,150,42.271,39.817,39.541,2:01.629
2022-02-20,11:20 PM,Shell,Mario Circuit,150,33.892,31.222,31.395,1:36.509
2022-02-23,12:19 AM,Shell,Mario Circuit,150,33.826,31.297,31.191,1:36.314
2022-02-23,1:20 AM,Flower,Mario Circuit,150,41.418,39.547,40.079,2:01.044
2022-02-23,1:25 AM,Flower,Mario Circuit,150,41.494,39.594,39.434,2:00.522
2022-02-26,11:22 PM,Shell,Mario Circuit,150,32.483,31.748,31.015,1:35.246
2022-02-26,11:29 PM,Shell,Mario Circuit,150,32.314,31.568,30.809,1:34.691
2022-02-26,2:03 AM,Shell,Mario Circuit,150,32.874,31.680,31.435,1:35.989
2022-02-26,3:44 AM,Shell,Mario Circuit,150,32.732,31.623,31.355,1:35.710
2022-02-26,5:26 AM,Flower,Mario Circuit,150,41.668,39.329,39.156,2:00.153
2022-03-12,4:17 PM,Flower,Mario Circuit,150,40.634,38.837,40.465,1:59.936
2022-02-14,1:30 AM,Mushroom,Mario Kart Stadium,150,37.948,36.134,35.419,1:49.501
2022-02-14,1:35 AM,Mushroom,Mario Kart Stadium,150,38.201,35.630,35.595,1:49.426
2022-02-14,4:13 AM,Mushroom,Mario Kart Stadium,150,37.925,35.848,35.235,1:49.008
2022-03-09,9:23 PM,Mushroom,Mario Kart Stadium,200,27.816,26.350,26.402,1:20.568
2022-02-09,10:14 PM,Shell,Moo Moo Meadows,150,32.620,31.891,32.194,1:36.705
2022-02-14,3:27 AM,Shell,Moo Moo Meadows,150,33.717,30.846,32.088,1:36.651
2022-03-11,11:34 PM,Shell,Moo Moo Meadows,150,32.457,31.593,32.297,1:36.347
2022-03-12,1:15 AM,Shell,Moo Moo Meadows,150,32.793,31.221,31.425,1:35.439
2022-03-12,5:18 PM,Shell,Moo Moo Meadows,150,32.234,31.403,31.611,1:35.248
2022-02-03,7:17 PM,Star,Mount Wario,150,27.916,52.300,39.667,1:59.883
2022-03-06,8:24 PM,Star,Mount Wario,150,28.083,49.750,40.717,1:58.550
2022-03-12,10:12 PM,Star,Mount Wario,150,28.116,50.250,39.584,1:57.950
2022-02-11,6:02 AM,Leaf,Music Park,150,45.333,45.586,43.128,2:14.047
2022-02-11,6:06 AM,Leaf,Music Park,150,44.580,44.422,43.539,2:12.541
2022-02-11,6:34 AM,Leaf,Music Park,150,44.663,43.553,43.655,2:11.871
2022-02-11,6:40 AM,Leaf,Music Park,150,44.821,43.549,42.937,2:11.307
2022-02-23,2:02 AM,Leaf,Music Park,150,45.100,43.171,42.975,2:11.246
2022-02-03,4:10 PM,Egg,Mute City,150,42.678,40.037,40.019,2:02.734
2022-03-06,10:05 PM,Egg,Mute City,150,42.542,39.981,40.168,2:02.691
2022-03-12,10:09 PM,Egg,Mute City,150,42.607,39.790,40.037,2:02.434
2022-02-27,8:58 PM,Bell,Neo Bowser City,150,41.850,38.980,39.618,2:00.448
2022-03-06,9:48 PM,Bell,Neo Bowser City,150,41.555,39.390,39.441,2:00.386
2022-03-07,11:35 PM,Bell,Neo Bowser City,150,41.302,39.215,39.166,1:59.683
2022-02-09,7:31 PM,Lightning,Piranha Plant Slide,150,47.704,45.210,45.584,2:18.498
2022-02-09,7:37 PM,Lightning,Piranha Plant Slide,150,46.555,44.882,47.054,2:18.491
2022-02-09,7:47 PM,Lightning,Piranha Plant Slide,150,46.692,44.521,44.377,2:15.590
2022-03-12,10:06 PM,Lightning,Piranha Plant Slide,150,45.968,44.304,44.181,2:14.453
2022-02-26,11:39 PM,Special,Rainbow Road,150,47.207,45.067,43.734,2:16.008
2022-02-27,8:28 PM,Special,Rainbow Road,150,47.251,44.501,43.458,2:15.210
2022-03-06,11:21 PM,Special,Rainbow Road,150,46.612,43.854,44.562,2:15.028
2022-03-12,12:41 AM,Special,Rainbow Road,150,45.788,44.126,44.539,2:14.453
2022-02-01,5:11 AM,Lightning,Rainbow Road (N64),150,29.833,28.433,30.503,1:28.769
2022-03-12,1:50 AM,Lightning,Rainbow Road (N64),150,30.033,27.267,31.065,1:28.365
2022-02-14,2:42 AM,Triforce,Rainbow Road (SNES),150,34.072,32.496,32.490,1:39.058
2022-02-26,12:47 AM,Triforce,Rainbow Road (SNES),150,34.034,32.202,32.543,1:38.779
2022-02-26,12:54 AM,Triforce,Rainbow Road (SNES),150,33.766,32.806,31.892,1:38.464
2022-02-26,1:01 AM,Triforce,Rainbow Road (SNES),150,33.914,32.485,31.893,1:38.292
2022-02-26,1:06 AM,Triforce,Rainbow Road (SNES),150,34.264,32.069,31.823,1:38.156
2022-02-26,1:16 AM,Triforce,Rainbow Road (SNES),150,33.809,31.572,32.131,1:37.512
2022-03-06,10:15 PM,Triforce,Rainbow Road (SNES),150,33.342,32.172,31.968,1:37.482
2022-03-12,3:00 AM,Triforce,Rainbow Road (SNES),150,33.558,32.019,31.669,1:37.246
2022-02-01,4:34 AM,Bell,Ribbon Road,150,41.225,39.359,39.661,2:00.245
2022-02-01,4:42 AM,Bell,Ribbon Road,150,40.850,39.146,38.991,1:58.987
2022-02-03,4:20 PM,Bell,Ribbon Road,150,41.085,38.848,38.951,1:58.884
2022-03-12,3:15 AM,Bell,Ribbon Road,150,40.691,39.337,38.707,1:58.735
2022-03-12,3:54 PM,Bell,Ribbon Road,150,40.549,38.849,38.516,1:57.914
2022-02-02,5:31 AM,Banana,Royal Raceway,150,45.872,43.484,43.294,2:12.650
2022-02-03,5:47 PM,Banana,Royal Raceway,150,45.110,43.095,43.812,2:12.017
2022-02-03,6:01 PM,Banana,Royal Raceway,150,45.196,43.323,42.915,2:11.434
2022-02-23,12:56 AM,Banana,Royal Raceway,150,44.954,42.956,43.107,2:11.017
2022-03-07,11:46 PM,Banana,Royal Raceway,150,45.079,43.011,42.742,2:10.832
2022-02-27,9:04 PM,Leaf,Sherbert Land,150,43.927,42.001,40.849,2:06.777
2022-03-06,9:32 PM,Leaf,Sherbert Land,150,43.726,41.635,41.192,2:06.553
2022-03-12,2:19 AM,Leaf,Sherbert Land,150,43.022,41.037,40.334,2:04.393
2022-03-11,11:54 PM,Flower,Shy Guy Falls,150,45.264,43.373,43.293,2:11.930
2022-02-14,4:35 AM,Star,Sunshine Airport,150,46.120,43.810,43.967,2:13.897
2022-03-06,8:36 PM,Star,Sunshine Airport,150,45.757,43.706,43.768,2:13.231
2022-02-03,5:06 PM,Bell,Super Bell Subway,150,40.163,40.564,38.541,1:59.268
2022-03-06,9:54 PM,Bell,Super Bell Subway,150,40.546,39.559,39.062,1:59.167
2022-03-12,12:00 AM,Bell,Super Bell Subway,150,41.267,38.508,38.593,1:58.368
2022-03-12,3:11 PM,Bell,Super Bell Subway,150,40.949,37.910,38.801,1:57.660
2022-03-12,5:28 PM,Bell,Super Bell Subway,150,40.815,37.562,38.349,1:56.726
2022-02-14,1:42 AM,Mushroom,Sweet Sweet Canyon,150,41.940,39.149,39.090,2:00.179
2022-03-06,9:28 PM,Mushroom,Sweet Sweet Canyon,150,41.306,39.066,39.076,1:59.448
